sigma_s,sigma_a,,calc_r,exp_r,abs(err),err %,avg abs error,avg % error,calc_g,exp_g,abs(err),err %,avg abs error,avg % error,,exp_b,calc_b,abs(err),err %,avg abs error,avg % error
0.4,0.9,,1.2766,1.3,0.0234,1.798,,,1.2766,1.3,0.0234,1.798,,,,1.3,1.2766,0.0234,1.8309,,
0.4,1,,1.3767,1.4,0.0233,1.6675,,,1.3767,1.4,0.0233,1.6675,,,,1.4,1.3767,0.0233,1.6958,,
0.5,0,,0.4592,0.5,0.0408,8.1684,,,0.4477,0.5,0.0523,10.4543,,,,0.5,0.4457,0.0544,12.1963,,
0.5,0.1,,0.6267,0.6,0.0267,4.4449,,,0.6266,0.6,0.0266,4.4281,,,,0.6,0.6266,0.0266,4.2381,,
0.5,0.2,,0.7103,0.7,0.0103,1.4729,,,0.7103,0.7,0.0103,1.4705,,,,0.7,0.7103,0.0103,1.4496,,
0.5,0.3,,0.8007,0.8,0.0007,0.0891,,,0.8008,0.8,0.0007,0.0913,,,,0.8,0.8008,0.0007,0.0914,,
0.5,0.4,,0.8891,0.9,0.0109,1.2116,,,0.8891,0.9,0.0109,1.2119,,,,0.9,0.8891,0.0109,1.2268,,
0.5,0.5,,0.9858,1,0.0142,1.4227,,,0.9858,1,0.0142,1.4225,,,,1,0.9858,0.0142,1.4429,,
0.5,0.6,,1.0783,1.1,0.0218,1.9787,,,1.0783,1.1,0.0218,1.9789,,,,1.1,1.0783,0.0218,2.0189,,
0.5,0.7,,1.1726,1.2,0.0274,2.2854,,,1.1726,1.2,0.0274,2.2854,,,,1.2,1.1726,0.0274,2.3388,,
0.5,0.8,,1.2709,1.3,0.0291,2.2398,,,1.2709,1.3,0.0291,2.2398,,,,1.3,1.2709,0.0291,2.2912,,
0.5,0.9,,1.3716,1.4,0.0285,2.0321,,,1.3716,1.4,0.0284,2.0321,,,,1.4,1.3716,0.0284,2.0743,,
